09:25:02.258 | 18 ff | 0072 | ff 05 d7 31 0e 23 4a 4c 00 34 81 81 31 98 c7 36 74 1c 1d c8 31 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d6 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 df b1 95 af c2 59 12 9f c2 29 b1 4e 07 98 5e 8d 37 81 d7 21 be ce c5 68 b0 2c 3d cb d9 52 2d 39 eb 41 2e 0b 38 50 5b a7 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 7f 8b f6 97 f5 70 c2 7e 6b 9e 44 26 2d 95 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c df 42 61 68 a3 4f f3 36 c3 68 ee 64 12 b2 b7 6f 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 27 78 be ec 4c a2 b4 f1 ca  |  -92 CRC error
09:25:02.322 | 18 ff | 0003 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 12 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf ce 57 24 ed f8 d4 b7 5c 56 31 2a 5d 9e 7f 60 d9 08 e9 66 3f b1 95 af c2 59 d2 9f c2 29 b1 4e 87 91 6d 9d b1 99 36 a4 b2 cf 81 60 96 88 3b cb d9 52 2d 38 eb 41 1e 0b 38 50 5b af 04 83 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e cb d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 73 79 d5 11 8c 8b de ad d7 2b a9 46 db 66 ee c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 f1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c f6 63 c4 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 27 78 be ec 4c a2 b4 f1 ca  |  -92 CRC error
09:25:02.407 | 18 ff | 0007 | cf 06 c6 3c 0a ea 4a 2c c9 1c 96 cf d6 98 c7 b6 73 1e 1d c8 31 6f 3a 75 65 60 fd a9 8c dd ee e1 01 63 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 33 30 95 af c2 59 52 9f c2 29 b1 4e 87 98 5f 8d 35 91 b1 65 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 49 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9f 2a a4 fd b7 3b 55 a2 c8 94 66 b4 5f 6a e6 ab d6 85 35 99 82 3a 6b ba 54 66 3f 75 cb 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 d3 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc c0 a7 13 66 8b 75 4d 72 56 30 fe 80 91 6c d5 4c c3 f5 0b 74 27 38 be ec 4c a2 34 f2 ea  |  -93 CRC error
09:25:02.468 | 18 ff | 0010 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 13 0d 40 30 48 da 78 bc 60 ed b1 84 fd f6 e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 89 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 bd f4 48 c9 68 e7 4b 14 47 2a a8 1c a6 3b 14 b1 84 84 e0 a4 ff 68 6e 8b d6 89 75 99 82 3a 6b ba 54 66 3f 75 cb 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 4c e9 e9 2c 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c5 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 45 dc 4f a3 13 2c 96 65 55 d6 26 bb 3e 11 f5 ec 58 4c d7 66 02 70 45 78 be ec 4c a2 b4 f1 ca  |  -92 CRC error
09:25:02.530 | 18 ff | 0013 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c df ee e4 88 25 c5 2c b2 37 8f 53 24 cd c8 d4 37 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 86 7b 17 1a 4a 66 75 3a a2 57 81 ea 91 84 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 95 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 8d bb 7b 3d 8b 35 9f 8f a1 ca 91 0d 29 74 d7 66 ea c6 e8 93 cb 12 54 a3 e5 41 b5 f0 eb a5 2a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 9d 4f a3 13 0c 96 65 4c 74 67 37 3c 81 ac 6c d5 4c c3 f5 09 74 2b 78 be ec 4c a2 b4 b3 eb  |  -93 CRC error
09:25:02.592 | 18 ff | 0016 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 e9 f8 d4 b7 5c 76 39 2a 5d 9e 3f 61 d5 08 c0 fe 47 b5 d4 bb 42 5d 5b d3 c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 10 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 6e dc c1 73 65 61 00 e5 fb 2f da a9 8b 15 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 27 78 be ec 4c a2 b4 f1 ca  |  -90 CRC error
09:25:02.656 | 18 ff | 0019 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f bc 98 de 36 64 1c 1d c0 30 6f 3a 75 75 60 fd 69 8c dd ee e1 01 65 dd b6 b2 bf c6 57 64 e9 f0 d4 b7 1c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a eb 3b 4c 3e 2a 6f 34 e6 17 f6 8d b4 a4 5d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 35 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 6f 7b 6d 87 1d 9c 8b ee e4 d2 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 ea ec d0 88 c2 30 1d 02 67 f9 31 8b f5 91 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 27 78 be ec 4c a2 b4 f1 ca  |  -93 CRC error
09:25:02.790 | 18 ff | 0023 | cf 06 d2 39 0a 5f 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6c 3a 98 3b e0 cd 85 98 ff f2 e1 11 79 d9 be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 d2 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 55 b3 9e 95 e0 a4 df 68 e2 9f 50 0c 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 6e ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c 96 65 04 74 67 37 3c 81 e0 6c db ce c3 f5 03 74 27 78 be ec 4c a2 b4 f1 ca  |  -93 CRC error
09:25:02.869 | 18 ff | 0029 | cf 06 d6 39 0a 5b 0a 4c 08 fc af cf be 19 c6 ce 62 1c 1d c7 38 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb 59 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 89 e2 d7 b7 cd 1f 64 3d c4 c8 d9 28 e5 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 65 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c f9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 e4 3c 1f 42 83 77 b9 68 d0 c9 63 e3 e4 f8 33 b2 a2 2b 65 dc 4f a3 13 2c 96 65 c4 74 67 f7 3c 81 ac 2c d5 4c c3 f5 0b 74 27 78 be ec ac a2 b4 f1 ca  |  -94 CRC error
09:25:02.946 | 18 ff | 0033 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8b be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd e9 9c dc fc 51 00 67 5d bf b2 bf 86 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b 2b 44 83 34 67 3e 4b 41 c6 06 a8 c7 df e5 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4f f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc ca dc 91 bb 2d 63 68 e5 01 26 7b 6d 86 9d 11 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 f9 3b ef f3 59 43 e1 e4 78 52 b2 a7 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 6c 42 f7 0b 5d 26 68 be fc c8 b9 bf f9 ce  |  -92 CRC error
09:25:03.030 | 18 ff | 0037 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 97 c7 22 67 19 71 8a b0 6c 0a 75 a5 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 80 39 cd c9 42 2d b8 e8 61 a6 0a 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 58 dd e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 93 3a eb ba 44 42 3f 64 d7 73 46 b0 0f 8c 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 cc 3c 5b 40 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 93 2d 96 65 44 74 67 37 3c 81 ac 60 c9 4a c3 f5 0b f4 b7 71 b1 ec 4c ba b4 d9 ca  |  -90 CRC error
