09:26:37.544 | 18 ff | 0000 | cf 06 d6 39 0a 5b 0a 4c 08 fc b7 8f bc 98 e4 36 64 1c 1d c8 10 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a dd 99 71 61 d9 08 eb 56 3f b1 95 ab 62 79 22 bf c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 30 50 5b af 04 23 3b 47 1a 0b 09 5c be aa 4f 92 e2 97 b7 0d 9d 24 1d 74 db de e8 a6 4b f5 9b 2a a8 9d 87 3b 15 b3 84 84 e0 a5 ff 68 6e 8b d6 a5 65 98 81 3a 69 fa 56 66 0f 75 d3 73 4b 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 9f e6 6a c6 e8 b3 df 03 54 a3 c5 41 35 f0 e3 ab 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 03 0c 96 65 44 70 6f 37 3c a1 cc 64 d5 40 c3 f5 0b 74 27 78 be ec 4c 82 b4 f1 ca  |  -95 CRC error
09:26:37.619 | 18 ff | 0003 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 98 d2 69 b1 ce 87 9d 5f 8d 34 81 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b e6 d4 92 15 a9 94 de 64 ea c6 e8 93 c7 19 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 37 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 01 ac 6c d5 4c c3 f5 4b f4 27 78 be ec 4c a2 b4 f1 ca  |  -94 CRC error
09:26:37.678 | 18 ff | 0006 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 31 2a 5d 9e 79 61 d9 48 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 83 99 5f 8d 35 91 b1 24 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 64 a3 7b 67 1a 5b 0b 4d be 8a 4f 10 f3 97 b7 0d 9d 24 1d f4 d8 9e e8 e6 cb f5 9b 2a a8 9d a7 3b 95 b2 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 71 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 62 6e d9 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 27 78 be ec 4c a0 b4 f1 ca  |  -93 CRC error
09:26:37.738 | 18 ff | 0009 | cf 06 b6 39 02 5d 6b e0 15 fc a7 8b 9f 98 97 36 a4 14 1d 88 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 53 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 1c 8b ef fc 92 05 ab 3c 1f bf e4 c6 e8 db c3 1a 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 27 78 be ec 4c a2 b4 f1 ca  |  -94 CRC error
09:26:37.798 | 18 ff | 0012 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed 98 d4 bf 40 74 31 2a ed 1e 77 61 f9 08 e9 46 37 b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 0b f5 9b 2c a8 9c 8f 3b 15 e3 8e 04 e0 a6 1a 68 6e bb d6 95 75 99 82 fb 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 65 87 1d 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 2e d8 e8 c4 3c 1f 42 67 79 31 e7 21 d9 52 e1 c4 7c 52 d2 b7 6e 64 5e 4f a7 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 25 78 be ec 4c a2 b4 f1 ca  |  -94 CRC error
09:26:37.861 | 18 ff | 0015 | cf 06 d6 39 0a 5b 0a 4e 18 fc 97 8f be 98 8e 37 5c 1c 6d c9 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc 6e 81 64 12 89 39 8b dd 52 3d 09 eb 41 2e 0b 3c 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 01 ba 78 06 dc 4e 9c a1 b0 2f c1 6e e9 29 28 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 79 43 e1 e4 78 b2 b2 b7 6e 65 dc 4f a3 13 2c 96 65 44 74 e7 37 3c e1 9c ac d7 4c 43 fc 49 7c 23 88 be ec 4c 8e b4 f1 c6  |  -94 CRC error
09:26:37.924 | 18 ff | 0018 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 25 52 f5 b2 bd 46 56 04 8d 0a a4 37 4c 7e 29 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 44 05 62 be 4a 4f 92 c2 13 37 0d 5d e4 0d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 ad 3f 3b 6d 87 1d 9c 8b ee a4 92 03 a9 b2 de 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c cb b5 0b 34 27 f8 bf d4 4d bf 10 f2 c4  |  -94 CRC error
09:26:38.035 | 18 ff | 0021 | cf 06 d6 39 0a 5b 08 4c 08 fc 97 8f be 98 c7 36 64 1c 1d d0 30 6f 3a 75 65 60 fd a9 8c d9 ee e1 60 05 dd be 92 67 46 57 ec ef bc 86 b4 7c 72 39 2a 5d 9a 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 8d b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 29 eb 41 2e 0b 38 50 5b ab 04 01 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 95 24 1c f4 c0 de e8 e6 c9 f5 9b 22 88 9c a5 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 b5 cc de 66 ea d6 e8 9b c7 1e 52 a3 e5 40 31 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 27 78 be ec 4c a2 b4 51 ca  |  -95 CRC error
09:26:38.035 | 18 ff | 0062 | 8f 0c f6 39 11 21 8e 4c 08 fc b3 8f be 98 47 96 64 f2 1d d8 30 a7 b8 76 75 40 ff 09 8c d9 2c e1 03 61 dc fe b2 a7 36 53 24 e1 c0 a8 37 1e 76 19 2b 5b 06 67 61 df 08 e9 66 bf b1 95 8d c2 59 52 9f aa 29 b1 0e 87 98 66 8d 05 c9 b9 27 f8 5e 01 60 11 88 b9 cb d9 52 fd 31 eb 4d 2b 03 38 54 5b a7 34 a3 3b 47 16 0b 8b 44 be aa 4f 92 e2 97 b7 0d 35 34 0d f4 d8 fc 61 e6 4b f5 bb eb a8 9f a7 3b 15 b3 84 b4 e0 a6 a1 68 6e 82 d7 85 77 99 80 31 63 b2 56 76 1f 65 c3 75 0f 14 0d 94 38 26 dc 5a 9c 81 b7 2f 88 ec e8 19 4e 5b 6b 41 19 9f 8a ae c4 92 05 a9 34 de 66 ee c6 e8 9f cf 92 74 a7 ed 71 31 f0 e3 a5 6e 3e 59 ec a4 38 0d 4a 73 71 31 c5 f1 59 45 e1 e4 78 52 9a 27 66 65 dc 51 b3 75 dc 9a 65 08 74 5f 37 34 81 ac f8 d0 44 62 f4 0b 34 27 f8 bf ac cc a1 b4 f1 ca  |  -92 CRC error
09:26:38.083 | 18 ff | 0024 | cf 06 d6 19 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d d4 30 6f 3a 65 65 60 fd a9 ac dd e9 e1 01 65 dd ff 82 af cb 53 24 ea ec d4 b7 58 76 29 7a 4d c2 71 65 e1 08 e1 26 3d b9 dd af d2 59 53 af ca 69 b5 4f e7 9d 7f 8d 55 f1 91 25 d4 cf 81 64 12 8a 39 87 d9 56 29 21 eb 45 26 2f 34 50 db af 44 2b 3b 47 8a 47 99 e0 bf aa 0f 92 65 14 b4 9d 99 24 dd f1 d9 fe 66 e2 49 d5 9b aa bc ef a7 bb 15 32 84 c4 e4 84 ff 69 6e 8b 92 85 34 bd 43 3a 6b ba 74 56 2d 75 c3 73 4f 64 05 94 70 06 dc 4a de 89 b3 0d 01 7c e8 f9 c7 6b 6d 87 0c 90 8a 8e f4 d2 19 a9 73 df 66 02 c5 e8 93 db 0a 54 a3 c5 48 35 d0 eb a7 ae 7e d1 fa d5 2c 4e 5e e7 21 b1 6f e3 b1 c3 c0 a5 66 52 c6 b7 6e 65 5c 01 a3 03 68 ae 78 c4 f4 47 77 38 05 ec 68 51 4c 5b d7 eb 36 2f 58 7f ef 4d a2 21 73 da  |  -94 CRC error
09:26:38.131 | 18 ff | 0026 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 9d cf c2 59 6e 9f c3 21 b9 4e 8f 9f 5c 8c 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 bb 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 01 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c eb 6e e4 92 09 e9 74 de 76 fa c6 e8 99 dd 12 54 a3 65 5b b1 d0 eb a3 2b 3e 69 e0 cc dc 0f dc 47 3a 31 6f f2 55 03 e1 fd 78 5a b3 b7 6e 45 fc 2f a3 81 2b 16 6c e0 64 67 36 38 85 4c 68 c9 4c c2 f4 0f 74 27 78 fe 2e ed 82 b4 71 6a  |  -95 CRC error
